2025-01-29 17:07:40 [AWT-EventQueue-0] WARN  auction.views.panels.SignIn - Failed to sign in user
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.views.panels.SignUp - Ready to sign up
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.services.UserService - Attempting to register user: Admin
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Sending request to server: {"action":"SIGN-UP","name":"Admin","password":"$2a$10$l2N96W7v71DWxevAAYoH/uBh2jJ8GGUxV9d17IZubMBr6a0xo3nv.","id":null}
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Received response from server: {"status":"SUCCESS","message":"fde5439d-d57e-40f2-8f32-dc85682b05f2","data":null}
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - User registered successfully: fde5439d-d57e-40f2-8f32-dc85682b05f2
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.repositories.UserRepository - User successfully added: auction.models.User@1876bce6
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.repositories.UserRepository - Users successfully saved after adding: fde5439d-d57e-40f2-8f32-dc85682b05f2
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.services.UserService - User registered successfully: Admin - fde5439d-d57e-40f2-8f32-dc85682b05f2
2025-01-29 17:07:58 [AWT-EventQueue-0] INFO  auction.views.panels.SignUp - Signed up user
2025-01-29 17:08:09 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Sending request to server: {"action":"SIGN-IN","name":"Admin","password":"Admin@123","id":"fde5439d-d57e-40f2-8f32-dc85682b05f2"}
2025-01-29 17:08:09 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Received response from server: {"status":"SUCCESS","message":"Optional[fde5439d-d57e-40f2-8f32-dc85682b05f2]","data":{"MULTICAST_ADDRESS":"230.0.0.1"}}
2025-01-29 17:08:09 [AWT-EventQueue-0] INFO  auction.views.panels.SignIn - Logged in user
2025-01-29 17:24:54 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Sending request to server: {"action":"SIGN-IN","name":"Admin","password":"Admin@123","id":"fde5439d-d57e-40f2-8f32-dc85682b05f2"}
2025-01-29 17:24:54 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Received response from server: {"status":"SUCCESS","message":"Optional[fde5439d-d57e-40f2-8f32-dc85682b05f2]","data":{"MULTICAST_ADDRESS":"230.0.0.1"}}
2025-01-29 17:24:54 [AWT-EventQueue-0] INFO  auction.views.panels.SignIn - Logged in user
2025-01-29 17:25:52 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Sending request to server: {"action":"SIGN-IN","name":"Admin","password":"Admin@123","id":"fde5439d-d57e-40f2-8f32-dc85682b05f2"}
2025-01-29 17:25:52 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Received response from server: {"status":"SUCCESS","message":"Optional[fde5439d-d57e-40f2-8f32-dc85682b05f2]","data":{"MULTICAST_ADDRESS":"230.0.0.1"}}
2025-01-29 17:25:53 [AWT-EventQueue-0] INFO  auction.views.panels.SignIn - Logged in user
2025-01-29 17:52:28 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Sending request to server: {"action":"SIGN-IN","name":"Admin","password":"Admin@123","id":"fde5439d-d57e-40f2-8f32-dc85682b05f2"}
2025-01-29 17:52:28 [AWT-EventQueue-0] INFO  auction.proxies.UserServiceProxy - Received response from server: {"status":"SUCCESS","message":"Optional[fde5439d-d57e-40f2-8f32-dc85682b05f2]","data":{"MULTICAST_ADDRESS":"230.0.0.1"}}
2025-01-29 17:52:28 [AWT-EventQueue-0] INFO  auction.views.panels.SignIn - Logged in user
2025-01-29 17:52:30 [AWT-EventQueue-0] INFO  auction.services.MulticastService - Trying to connect to multicast group at 230.0.0.1:5000
2025-01-29 17:52:30 [AWT-EventQueue-0] INFO  auction.services.MulticastService - Network interface found: Intel(R) Dual Band Wireless-AC 3168
2025-01-29 17:52:30 [AWT-EventQueue-0] INFO  auction.services.MulticastService - Connection to multicast group 230.0.0.1:5000 succeeded.
2025-01-29 17:52:30 [AWT-EventQueue-0] INFO  auction.services.MulticastService - Sending message: CLIENT_CONNECTED
